comment_id,anonymous,graduating_year,job_title,program,overall_score,job_support,school
267640,True,2020,Product Designer,,4.3,3.0,ironhack
267597,False,2020,UX-UI designer,UX/UI Design Bootcamp,3.7,3.0,ironhack
267588,False,2020,Full Stack Web Developer,Web Development Bootcamp,4.7,5.0,ironhack
267583,True,2020,,Web Development Bootcamp,4.0,4.0,ironhack
267579,False,2020,,Web Development Bootcamp,5.0,5.0,ironhack
267563,False,2020,,UX/UI Design Bootcamp,5.0,5.0,ironhack
267560,False,2020,,Web Development Bootcamp,5.0,5.0,ironhack
267531,False,2020,,Web Development Bootcamp,5.0,5.0,ironhack
267527,True,2020,,Web Development Bootcamp,5.0,5.0,ironhack
267517,False,2020,,Web Development Bootcamp,5.0,5.0,ironhack
267514,True,2020,,UX/UI Design Bootcamp,4.0,,ironhack
267500,False,2020,,Web Development Bootcamp,5.0,5.0,ironhack
267375,False,2020,,Web Development Bootcamp,5.0,5.0,ironhack
267263,True,2020,Web developer,,4.7,4.0,ironhack
267141,False,2020,Full stack web developer,Web Development Bootcamp,5.0,5.0,ironhack
266915,True,2020,,Web Development Part-Time,4.7,4.0,ironhack
266891,False,2020,"Software Developer Jr., Data Analyst Jr., Structural engineering PhD.",Data Analytics Bootcamp,5.0,5.0,ironhack
266881,True,2020,Graphic Designer,Web Development Part-Time,5.0,5.0,ironhack
266677,False,2020,,UX/UI Design Bootcamp,5.0,5.0,ironhack
266459,False,2020,Ux/Ui Designer,,4.7,4.0,ironhack
266455,False,2020,UX/UI Designer,,4.7,4.0,ironhack
266454,False,2020,UX/UI Designer,,4.7,4.0,ironhack
266425,False,2020,Full Stack Developer,Web Development Bootcamp,5.0,5.0,ironhack
266341,True,2020,UX/UI Designer,UX/UI Design Bootcamp,5.0,5.0,ironhack
266294,False,2020,Software Engineer,Data Analytics Bootcamp,5.0,5.0,ironhack
266282,True,2020,Software Engineer,,5.0,5.0,ironhack
266276,False,2020,UX-designer,Web Development Bootcamp,5.0,5.0,ironhack
266264,False,2020,Front-End Developer,Web Development Bootcamp,4.7,4.0,ironhack
266263,False,2020,Insights Project Manager,Data Analytics Bootcamp,4.7,4.0,ironhack
266037,True,2020,,Data Analytics Bootcamp,5.0,5.0,ironhack
266009,False,2020,Designer,UX/UI Design Bootcamp,4.7,4.0,ironhack
265960,False,2020,full stack web developer/teacher,Web Development Bootcamp,4.7,5.0,ironhack
265948,True,2020,,UX/UI Design Part-Time,4.0,4.0,ironhack
265947,False,2020,Data Analyst,Data Analytics Bootcamp,5.0,5.0,ironhack
265946,False,2020,Frontend Developer,Web Development Bootcamp,4.7,5.0,ironhack
265832,False,2020,Growth,Web Development Bootcamp,4.7,4.0,ironhack
265809,False,2020,web dev,Web Development Bootcamp,4.7,4.0,ironhack
265788,False,2020,,Web Development Bootcamp,5.0,5.0,ironhack
265738,False,2020,,Web Development Bootcamp,5.0,5.0,ironhack
265732,False,2020,UX/UI Designer,UX/UI Design Bootcamp,5.0,5.0,ironhack
265686,False,2020,,Web Development Bootcamp,5.0,5.0,ironhack
265682,True,2020,,UX/UI Design Bootcamp,3.7,3.0,ironhack
265629,False,2020,UX/UI Designer,UX/UI Design Bootcamp,5.0,5.0,ironhack
265595,True,2020,Data Analyst,,5.0,5.0,ironhack
265583,False,2020,Designer,UX/UI Design Bootcamp,5.0,5.0,ironhack
265581,True,2020,Designer,,3.7,2.0,ironhack
265505,True,2020,UX/UI Designer,UX/UI Design Bootcamp,5.0,5.0,ironhack
